target_chembl_id,pref_name
CHEMBL5014,Receptor-interacting serine/threonine-protein kinase 2
CHEMBL5024,Serine/threonine-protein kinase ATR
CHEMBL5026,Eukaryotic elongation factor 2 kinase
CHEMBL5047,Serine/threonine-protein kinase ULK3
CHEMBL5052,Serine/threonine-protein kinase MRCK beta
CHEMBL5072,Ephrin type-B receptor 1
CHEMBL5073,Calcium/calmodulin-dependent protein kinase type 1D
CHEMBL5082,Serine/threonine-protein kinase 24
CHEMBL5084,Casein kinase I isoform gamma-3
CHEMBL5121,Mitogen-activated protein kinase 6
CHEMBL5122,Discoidin domain-containing receptor 2
CHEMBL5145,Serine/threonine-protein kinase B-raf
CHEMBL5147,Ephrin type-B receptor 4
CHEMBL5198,Mitogen-activated protein kinase 15
CHEMBL5251,Tyrosine-protein kinase BTK
CHEMBL5257,Serine/threonine-protein kinase Nek9
CHEMBL5261,Serine/threonine-protein kinase TAO1
CHEMBL5275,Bone morphogenetic protein receptor type-1A
CHEMBL5284,Calcium/calmodulin-dependent protein kinase kinase 2
CHEMBL5285,Mitogen-activated protein kinase kinase kinase 5
CHEMBL5310,Activin receptor type-1B
CHEMBL5311,Activin receptor type-1-like
CHEMBL5314,Tyrosine-protein kinase receptor TYRO3
CHEMBL5319,Epithelial discoidin domain-containing receptor 1
CHEMBL5320,Myotonin-protein kinase
CHEMBL5330,Mitogen-activated protein kinase kinase kinase kinase 2
CHEMBL5331,Tyrosine-protein kinase Mer
CHEMBL5332,Mitogen-activated protein kinase 7
CHEMBL5334,Non-receptor tyrosine-protein kinase TNK1
CHEMBL5358,eIF-2-alpha kinase GCN2
CHEMBL5364,Serine/threonine-protein kinase NLK
CHEMBL5404,Serine/threonine-protein kinase tousled-like 2
CHEMBL5407,Serine/threonine-protein kinase pim-3
CHEMBL5408,Serine/threonine-protein kinase TBK1
CHEMBL5415,SRSF protein kinase 3
CHEMBL5427,Homeodomain-interacting protein kinase 1
CHEMBL5432,Mitogen-activated protein kinase kinase kinase kinase 3
CHEMBL5435,Serine/threonine-protein kinase ULK2
CHEMBL5443,Cell division cycle 7-related protein kinase
CHEMBL5455,Tyrosine-protein kinase Fes/Fps
CHEMBL5464,Receptor-interacting serine/threonine-protein kinase 1
CHEMBL5467,Bone morphogenetic protein receptor type-2
CHEMBL5469,Protein-tyrosine kinase 2-beta
CHEMBL5476,Bone morphogenetic protein receptor type-1B
CHEMBL5483,Insulin receptor-related protein
CHEMBL5491,Wee1-like protein kinase
CHEMBL5518,Misshapen-like kinase 1
CHEMBL5519,Serine/threonine-protein kinase DCLK2
CHEMBL5543,Dual specificity tyrosine-phosphorylation-regulated kinase 1B
CHEMBL5568,Proto-oncogene tyrosine-protein kinase ROS
CHEMBL5579,Citron Rho-interacting kinase
CHEMBL5600,MAP/microtubule affinity-regulating kinase 3
CHEMBL5606,Serine/threonine-protein kinase STK11
CHEMBL5608,NT-3 growth factor receptor
CHEMBL5627,Leukocyte tyrosine kinase receptor
CHEMBL5638,Serine/threonine-protein kinase Nek11
CHEMBL5650,Serine/threonine-protein kinase BRSK1
