"ChEMBL ID"	"Name"	"Accessions"	"Type"	"Organism"	"Compounds"	"Activities"	"Tax ID"	"Species Group Flag"
"CHEMBL1844"	"Macrophage colony-stimulating factor 1 receptor"	"P07333"	"SINGLE PROTEIN"	"Homo sapiens"	"4826"	"9963"	"9606"	"False"
"CHEMBL3587"	"Dual specificity mitogen-activated protein kinase kinase 1"	"Q02750"	"SINGLE PROTEIN"	"Homo sapiens"	"3199"	"5281"	"9606"	"False"
"CHEMBL5469"	"Protein-tyrosine kinase 2-beta"	"Q14289"	"SINGLE PROTEIN"	"Homo sapiens"	"2157"	"3061"	"9606"	"False"
"CHEMBL5251"	"Tyrosine-protein kinase BTK"	"Q06187"	"SINGLE PROTEIN"	"Homo sapiens"	"14853"	"61728"	"9606"	"False"
"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Q08881"	"SINGLE PROTEIN"	"Homo sapiens"	"3410"	"7443"	"9606"	"False"
"CHEMBL3055"	"Cyclin-dependent kinase 7"	"P50613"	"SINGLE PROTEIN"	"Homo sapiens"	"1439"	"2329"	"9606"	"False"
"CHEMBL2708"	"Mitogen-activated protein kinase kinase kinase 11"	"Q16584"	"SINGLE PROTEIN"	"Homo sapiens"	"944"	"2096"	"9606"	"False"
"CHEMBL4128"	"Angiopoietin-1 receptor"	"Q02763"	"SINGLE PROTEIN"	"Homo sapiens"	"2405"	"3535"	"9606"	"False"
"CHEMBL5903"	"Activin receptor type-1"	"Q04771"	"SINGLE PROTEIN"	"Homo sapiens"	"2353"	"7015"	"9606"	"False"
"CHEMBL1974"	"Receptor-type tyrosine-protein kinase FLT3"	"P36888"	"SINGLE PROTEIN"	"Homo sapiens"	"8546"	"19473"	"9606"	"False"
"CHEMBL4482"	"Serine/threonine-protein kinase PAK 4"	"O96013"	"SINGLE PROTEIN"	"Homo sapiens"	"2573"	"3459"	"9606"	"False"
"CHEMBL1936"	"Mast/stem cell growth factor receptor Kit"	"P10721"	"SINGLE PROTEIN"	"Homo sapiens"	"6372"	"24367"	"9606"	"False"
"CHEMBL5838"	"Receptor tyrosine-protein kinase erbB-3"	"P21860"	"SINGLE PROTEIN"	"Homo sapiens"	"336"	"404"	"9606"	"False"
"CHEMBL1981"	"Insulin receptor"	"P06213"	"SINGLE PROTEIN"	"Homo sapiens"	"4064"	"5994"	"9606"	"False"
"CHEMBL279"	"Vascular endothelial growth factor receptor 2"	"P35968"	"SINGLE PROTEIN"	"Homo sapiens"	"16941"	"29352"	"9606"	"False"
"CHEMBL2996"	"Protein kinase C delta type"	"Q05655"	"SINGLE PROTEIN"	"Homo sapiens"	"2417"	"3138"	"9606"	"False"
"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Q9NZJ5"	"SINGLE PROTEIN"	"Homo sapiens"	"473"	"916"	"9606"	"False"
"CHEMBL5073"	"Calcium/calmodulin-dependent protein kinase type 1D"	"Q8IU85"	"SINGLE PROTEIN"	"Homo sapiens"	"1529"	"2637"	"9606"	"False"
"CHEMBL5072"	"Ephrin type-B receptor 1"	"P54762"	"SINGLE PROTEIN"	"Homo sapiens"	"665"	"992"	"9606"	"False"
"CHEMBL6055"	"Serine/threonine-protein kinase WNK3"	"Q9BYP7"	"SINGLE PROTEIN"	"Homo sapiens"	"401"	"605"	"9606"	"False"
"CHEMBL5754"	"MAP/microtubule affinity-regulating kinase 4"	"Q96L34"	"SINGLE PROTEIN"	"Homo sapiens"	"1076"	"1676"	"9606"	"False"
"CHEMBL5311"	"Activin receptor type-1-like"	"P37023"	"SINGLE PROTEIN"	"Homo sapiens"	"788"	"1983"	"9606"	"False"
"CHEMBL5464"	"Receptor-interacting serine/threonine-protein kinase 1"	"Q13546"	"SINGLE PROTEIN"	"Homo sapiens"	"4960"	"16973"	"9606"	"False"
"CHEMBL1913"	"Platelet-derived growth factor receptor beta"	"P09619"	"SINGLE PROTEIN"	"Homo sapiens"	"4305"	"7770"	"9606"	"False"
"CHEMBL2906"	"Phosphorylase b kinase regulatory subunit alpha, liver isoform"	"P46019"	"SINGLE PROTEIN"	"Homo sapiens"	"127"	"137"	"9606"	"False"
"CHEMBL2292"	"Dual specificity tyrosine-phosphorylation-regulated kinase 1A"	"Q13627"	"SINGLE PROTEIN"	"Homo sapiens"	"6590"	"17790"	"9606"	"False"
"CHEMBL3844"	"Phosphorylase kinase beta subunit"	"Q93100"	"SINGLE PROTEIN"	"Homo sapiens"	"2"	"4"	"9606"	"False"
"CHEMBL5639"	"Serine/threonine-protein kinase WNK2"	"Q9Y3S1"	"SINGLE PROTEIN"	"Homo sapiens"	"430"	"667"	"9606"	"False"
"CHEMBL5600"	"MAP/microtubule affinity-regulating kinase 3"	"P27448"	"SINGLE PROTEIN"	"Homo sapiens"	"1970"	"2714"	"9606"	"False"
"CHEMBL2971"	"Tyrosine-protein kinase JAK2"	"O60674"	"SINGLE PROTEIN"	"Homo sapiens"	"17559"	"56207"	"9606"	"False"
