molecule_chembl_id,target_chembl_id,pchembl_value,activity_type
CHEMBL1080271,CHEMBL203,4.11,inactive
CHEMBL1080272,CHEMBL1824,6.21,inactive
CHEMBL1080272,CHEMBL203,4.82,inactive
CHEMBL1080322,CHEMBL2148,7.85,active
CHEMBL1080322,CHEMBL2971,6.41,inactive
CHEMBL1080323,CHEMBL2148,8.15,active
CHEMBL1080323,CHEMBL2971,6.33,inactive
CHEMBL1080332,CHEMBL2148,7.77,active
CHEMBL1080332,CHEMBL2971,6.57,active
CHEMBL1080333,CHEMBL2148,7.16,active
CHEMBL1080333,CHEMBL2971,6.5,active
CHEMBL1080437,CHEMBL5145,7.01,active
CHEMBL1080438,CHEMBL5145,7.75,active
CHEMBL1080439,CHEMBL5145,7.38,active
CHEMBL108044,CHEMBL258,8.1,active
CHEMBL1080476,CHEMBL5145,9.05,active
CHEMBL1080506,CHEMBL203,4.9,inactive
CHEMBL1080569,CHEMBL4282,6.6,active
CHEMBL1080580,CHEMBL1862,5.75,inactive
CHEMBL1080615,CHEMBL5145,8.09,active
CHEMBL1080616,CHEMBL5145,7.68,active
CHEMBL1080650,CHEMBL5145,9.29,active
CHEMBL1080651,CHEMBL5145,7.92,active
CHEMBL1080652,CHEMBL5145,9.36,active
CHEMBL1080656,CHEMBL5145,6.26,inactive
CHEMBL1080673,CHEMBL260,8.57,active
CHEMBL1080812,CHEMBL203,6.06,inactive
CHEMBL1080815,CHEMBL203,5.57,inactive
CHEMBL1080832,CHEMBL5145,7.77,active
CHEMBL1080901,CHEMBL262,9.25,active
CHEMBL1080901,CHEMBL2850,7.57,active
CHEMBL1080911,CHEMBL4282,6.465,inactive
CHEMBL1080932,CHEMBL262,5.09,inactive
CHEMBL1080933,CHEMBL262,6.66,active
CHEMBL1080956,CHEMBL4901,4.7,inactive
CHEMBL1080957,CHEMBL4901,5.7,inactive
CHEMBL1080958,CHEMBL4901,4.7,inactive
CHEMBL1080959,CHEMBL4901,6.72,active
CHEMBL1080990,CHEMBL1824,6.03,inactive
CHEMBL1080990,CHEMBL203,5.92,inactive
CHEMBL1081029,CHEMBL4282,5.22,inactive
CHEMBL1081037,CHEMBL260,8.2,active
CHEMBL1081105,CHEMBL4282,5.42,inactive
CHEMBL1081128,CHEMBL262,7.46,active
CHEMBL1081190,CHEMBL2148,7.55,active
CHEMBL1081190,CHEMBL2971,7.08,active
