ChEMBL ID,Name,Accessions,Type,Organism,Compounds,Activities
CHEMBL5464,Receptor-interacting serine/threonine-protein kinase 1,Q13546,SINGLE PROTEIN,Homo sapiens,4960,16973
CHEMBL1913,Platelet-derived growth factor receptor beta,P09619,SINGLE PROTEIN,Homo sapiens,4305,7770
CHEMBL2292,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Q13627,SINGLE PROTEIN,Homo sapiens,6590,17790
CHEMBL5600,MAP/microtubule affinity-regulating kinase 3,P27448,SINGLE PROTEIN,Homo sapiens,1970,2714
CHEMBL2971,Tyrosine-protein kinase JAK2,O60674,SINGLE PROTEIN,Homo sapiens,17559,56207
CHEMBL4599,Activated CDC42 kinase 1,Q07912,SINGLE PROTEIN,Homo sapiens,2140,3282
CHEMBL5749,Mitogen-activated protein kinase kinase kinase kinase 1,Q92918,SINGLE PROTEIN,Homo sapiens,6422,29391
CHEMBL6186,Serine/threonine-protein kinase Sgk3,Q96BR1,SINGLE PROTEIN,Homo sapiens,936,1571
CHEMBL2828,Casein kinase I isoform delta,P48730,SINGLE PROTEIN,Homo sapiens,5103,8091
CHEMBL4267,TGF-beta receptor type-2,P37173,SINGLE PROTEIN,Homo sapiens,1492,3330
CHEMBL3385,Mitogen-activated protein kinase 3,P27361,SINGLE PROTEIN,Homo sapiens,3384,6178
CHEMBL3290,Ephrin type-B receptor 2,P29323,SINGLE PROTEIN,Homo sapiens,1250,2053
CHEMBL1075133,Rhodopsin kinase GRK7,Q8WTQ7,SINGLE PROTEIN,Homo sapiens,862,1439
CHEMBL5938,Serine/threonine-protein kinase PLK2,Q9NYY3,SINGLE PROTEIN,Homo sapiens,854,1134
CHEMBL267,Proto-oncogene tyrosine-protein kinase Src,P12931,SINGLE PROTEIN,Homo sapiens,8537,15433
CHEMBL3788,Serine/threonine-protein kinase PLK4,O00444,SINGLE PROTEIN,Homo sapiens,2063,3509
CHEMBL4223,Tyrosine-protein kinase FRK,P42685,SINGLE PROTEIN,Homo sapiens,1629,2490
CHEMBL5932,LIM domain kinase 2,P53671,SINGLE PROTEIN,Homo sapiens,815,1072
CHEMBL2543,Casein kinase I isoform gamma-2,P78368,SINGLE PROTEIN,Homo sapiens,1792,2647
CHEMBL4036,Cyclin-dependent kinase 5,Q00535,SINGLE PROTEIN,Homo sapiens,2501,3467
CHEMBL5678,G protein-coupled receptor kinase 5,P34947,SINGLE PROTEIN,Homo sapiens,904,1320
CHEMBL4367,Tyrosine-protein kinase TXK,P42681,SINGLE PROTEIN,Homo sapiens,1416,2898
CHEMBL3553,Non-receptor tyrosine-protein kinase TYK2,P29597,SINGLE PROTEIN,Homo sapiens,10448,44810
CHEMBL4004,"Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform",Q16816,SINGLE PROTEIN,Homo sapiens,762,1236
CHEMBL4282,RAC-alpha serine/threonine-protein kinase,P31749,SINGLE PROTEIN,Homo sapiens,7404,16595
CHEMBL2534,3-phosphoinositide-dependent protein kinase 1,O15530,SINGLE PROTEIN,Homo sapiens,3970,7275
CHEMBL3009,Receptor tyrosine-protein kinase erbB-4,Q15303,SINGLE PROTEIN,Homo sapiens,2113,2971
CHEMBL4600,Serine/threonine-protein kinase PAK 1,Q13153,SINGLE PROTEIN,Homo sapiens,2016,2726
CHEMBL5145,Serine/threonine-protein kinase B-raf,P15056,SINGLE PROTEIN,Homo sapiens,8874,25907
CHEMBL5476,Bone morphogenetic protein receptor type-1B,O00238,SINGLE PROTEIN,Homo sapiens,790,1896
CHEMBL3717,Hepatocyte growth factor receptor,P08581,SINGLE PROTEIN,Homo sapiens,8735,19853
CHEMBL1868,Vascular endothelial growth factor receptor 1,P17948,SINGLE PROTEIN,Homo sapiens,4575,7436
CHEMBL4142,Fibroblast growth factor receptor 2,P21802,SINGLE PROTEIN,Homo sapiens,4687,13303
CHEMBL5314,Tyrosine-protein kinase receptor TYRO3,Q06418,SINGLE PROTEIN,Homo sapiens,3722,9453
CHEMBL3616,Protein kinase C eta type,P24723,SINGLE PROTEIN,Homo sapiens,1240,1985
CHEMBL4121,Calcium/calmodulin-dependent protein kinase type II subunit beta,Q13554,SINGLE PROTEIN,Homo sapiens,1314,1743
CHEMBL5855,Serine/threonine-protein kinase Nek1,Q96PY6,SINGLE PROTEIN,Homo sapiens,1379,2020
CHEMBL2599,Tyrosine-protein kinase SYK,P43405,SINGLE PROTEIN,Homo sapiens,7858,17619
CHEMBL5443,Cell division cycle 7-related protein kinase,O00311,SINGLE PROTEIN,Homo sapiens,1227,1406
CHEMBL3142,DNA-dependent protein kinase catalytic subunit,P78527,SINGLE PROTEIN,Homo sapiens,2255,6651
CHEMBL3935,Aurora kinase C,Q9UQB9,SINGLE PROTEIN,Homo sapiens,1126,1899
CHEMBL3905,Tyrosine-protein kinase Lyn,P07948,SINGLE PROTEIN,Homo sapiens,3004,6388
CHEMBL5285,Mitogen-activated protein kinase kinase kinase 5,Q99683,SINGLE PROTEIN,Homo sapiens,2805,7692
CHEMBL2835,Tyrosine-protein kinase JAK1,P23458,SINGLE PROTEIN,Homo sapiens,14268,47653
CHEMBL2068,Ephrin type-A receptor 2,P29317,SINGLE PROTEIN,Homo sapiens,2902,4750
CHEMBL3032,Serine/threonine-protein kinase N2,Q16513,SINGLE PROTEIN,Homo sapiens,1615,2136
CHEMBL4203,Dual specificity protein kinase CLK4,Q9HAZ1,SINGLE PROTEIN,Homo sapiens,2939,4468
CHEMBL5320,Myotonin-protein kinase,Q09013,SINGLE PROTEIN,Homo sapiens,683,1022
CHEMBL3980,Serine/threonine-protein kinase 17B,O94768,SINGLE PROTEIN,Homo sapiens,610,923
CHEMBL5543,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,Q9Y463,SINGLE PROTEIN,Homo sapiens,2233,3062
CHEMBL5319,Epithelial discoidin domain-containing receptor 1,Q08345,SINGLE PROTEIN,Homo sapiens,2219,5364
CHEMBL2508,Cyclin-dependent kinase 6,Q00534,SINGLE PROTEIN,Homo sapiens,1691,3345
CHEMBL5794,Serine/threonine-protein kinase Sgk2,Q9HBY8,SINGLE PROTEIN,Homo sapiens,1539,2143
CHEMBL2468,Death-associated protein kinase 3,O43293,SINGLE PROTEIN,Homo sapiens,1679,2215
CHEMBL2939,Mitogen-activated protein kinase 13,O15264,SINGLE PROTEIN,Homo sapiens,2086,3124
CHEMBL6006,Serine/threonine-protein kinase ULK1,O75385,SINGLE PROTEIN,Homo sapiens,1093,3327
