target_chembl_id,assay_chembl_id,confidence_score,assay_type
CHEMBL5579,CHEMBL5472720,9,B
CHEMBL5579,CHEMBL5473209,9,B
CHEMBL5579,CHEMBL5474120,9,B
CHEMBL5579,CHEMBL5474628,9,B
CHEMBL5579,CHEMBL5475181,9,B
CHEMBL5579,CHEMBL5475182,9,B
CHEMBL5579,CHEMBL5475927,9,B
CHEMBL5579,CHEMBL5476998,9,B
CHEMBL5579,CHEMBL5477482,9,B
CHEMBL5579,CHEMBL5478291,9,B
CHEMBL5579,CHEMBL5479062,9,B
CHEMBL5579,CHEMBL5479935,9,B
CHEMBL5579,CHEMBL5480381,9,B
CHEMBL5579,CHEMBL5481255,9,B
CHEMBL5579,CHEMBL5481256,9,B
CHEMBL5579,CHEMBL5510605,9,B
CHEMBL5579,CHEMBL5541887,9,B
CHEMBL5579,CHEMBL5541923,9,B
CHEMBL5579,CHEMBL5541924,9,B
CHEMBL5579,CHEMBL5541925,9,B
CHEMBL5579,CHEMBL5541926,9,B
CHEMBL5579,CHEMBL5541927,9,B
CHEMBL5579,CHEMBL5541928,9,B
CHEMBL5579,CHEMBL5648485,9,B
CHEMBL5579,CHEMBL5649550,9,B
CHEMBL5579,CHEMBL5651116,9,B
CHEMBL5579,CHEMBL5657270,9,B
CHEMBL5579,CHEMBL5675035,9,B
CHEMBL5579,CHEMBL5683393,9,B
CHEMBL5579,CHEMBL5685133,9,B
CHEMBL5579,CHEMBL5686120,9,B
CHEMBL5579,CHEMBL5686588,9,B
CHEMBL5579,CHEMBL5701546,9,B
CHEMBL5579,CHEMBL5702506,9,B
CHEMBL5579,CHEMBL5702852,9,B
CHEMBL5579,CHEMBL5711076,9,B
CHEMBL5579,CHEMBL5713184,9,B
CHEMBL5579,CHEMBL5717311,9,B
CHEMBL5579,CHEMBL5720566,9,B
CHEMBL5579,CHEMBL5720909,9,B
CHEMBL5579,CHEMBL5721548,9,B
CHEMBL5579,CHEMBL5724003,9,B
CHEMBL5579,CHEMBL5724004,9,B
CHEMBL5579,CHEMBL5724005,9,B
CHEMBL5579,CHEMBL5724012,9,B
CHEMBL5579,CHEMBL5724013,9,B
CHEMBL5579,CHEMBL5724014,9,B
CHEMBL5579,CHEMBL5724105,9,B
CHEMBL5698,CHEMBL981773,8,B
CHEMBL5698,CHEMBL1017050,8,B
CHEMBL5698,CHEMBL1017923,8,B
CHEMBL5698,CHEMBL1062871,9,B
CHEMBL5698,CHEMBL1052966,8,B
CHEMBL5698,CHEMBL1043377,9,B
CHEMBL5698,CHEMBL1043814,8,B
CHEMBL5698,CHEMBL1072521,8,B
CHEMBL5698,CHEMBL1050473,9,B
CHEMBL5698,CHEMBL1045144,9,B
CHEMBL5698,CHEMBL1066101,8,B
CHEMBL5698,CHEMBL1071374,8,B
CHEMBL5698,CHEMBL1167703,8,B
CHEMBL5698,CHEMBL1175340,8,B
CHEMBL5698,CHEMBL1244981,8,B
